Incident_ID,Incident_Date,Category,Severity,Impact,Status,Escalated,Location_ID
INC00001,2026-04-08,Web Attack,Medium,Low,Open,No,LOC0057
INC00002,2023-01-18,Malware,Low,Significant,Investigating,Yes,LOC0080
INC00003,2023-08-11,Ransomware,Medium,Significant,Resolved,No,LOC0086
INC00004,2023-10-21,Web Attack,Critical,Moderate,Investigating,Yes,LOC0096
INC00005,2023-12-23,Unauthorized Access,Low,Significant,Resolved,No,LOC0040
INC00006,2023-06-18,Malware,Medium,Moderate,Contained,No,LOC0091
INC00007,2023-01-23,DDoS,Critical,Moderate,Investigating,No,LOC0012
INC00008,2025-05-15,Web Attack,Low,Low,Resolved,No,LOC0038
INC00009,2026-05-22,DDoS,High,Moderate,Contained,No,LOC0027
INC00010,2023-06-05,Unauthorized Access,Medium,Low,Investigating,Yes,LOC0093
INC00011,2024-01-14,Unauthorized Access,Critical,Low,Resolved,No,LOC0061
INC00012,2024-10-08,Data Breach,High,Low,Resolved,Yes,LOC0037
INC00013,2026-03-30,Phishing,Critical,Severe,Resolved,No,LOC0016
INC00014,2025-06-05,Insider Threat,Medium,Moderate,Open,No,LOC0079
INC00015,2025-09-05,Web Attack,High,Moderate,Investigating,No,LOC0066
INC00016,2025-01-12,Phishing,High,Moderate,Resolved,No,LOC0086
INC00017,2024-06-16,Insider Threat,Medium,Severe,Investigating,No,LOC0044
INC00018,2025-10-23,Insider Threat,Medium,Significant,Investigating,Yes,LOC0015
INC00019,2023-02-02,Data Breach,Low,Severe,Resolved,Yes,LOC0034
INC00020,2025-07-02,Ransomware,Critical,Moderate,Investigating,No,LOC0063
INC00021,2023-04-18,DDoS,High,Low,Open,Yes,LOC0025
INC00022,2025-08-01,Insider Threat,High,Significant,Open,Yes,LOC0008
INC00023,2025-11-20,Phishing,High,Moderate,Contained,No,LOC0083
INC00024,2023-06-17,Insider Threat,High,Significant,Resolved,No,LOC0054
INC00025,2024-07-08,Web Attack,Medium,Severe,Resolved,No,LOC0040
INC00026,2023-06-08,Data Breach,Medium,Moderate,Open,No,LOC0056
INC00027,2024-12-25,Ransomware,High,Severe,Investigating,No,LOC0074
INC00028,2026-03-30,Unauthorized Access,Medium,Significant,Contained,Yes,LOC0001
INC00029,2023-04-14,Malware,Critical,Moderate,Contained,No,LOC0045
INC00030,2024-05-22,Web Attack,High,Moderate,Contained,No,LOC0026
INC00031,2026-05-27,Ransomware,Medium,Low,Resolved,No,LOC0010
INC00032,2024-01-20,Malware,High,Significant,Resolved,No,LOC0004
INC00033,2023-06-18,Insider Threat,Low,Low,Contained,No,LOC0045
INC00034,2024-09-15,Data Breach,Critical,Moderate,Resolved,Yes,LOC0055
INC00035,2024-10-11,Unauthorized Access,Critical,Significant,Open,No,LOC0051
INC00036,2025-04-26,Malware,Critical,Low,Resolved,Yes,LOC0079
INC00037,2024-02-05,Insider Threat,Medium,Low,Contained,No,LOC0046
INC00038,2026-05-05,Data Breach,Low,Significant,Contained,Yes,LOC0059
INC00039,2024-10-27,Insider Threat,Medium,Low,Resolved,Yes,LOC0082
INC00040,2024-01-01,Insider Threat,Low,Moderate,Contained,No,LOC0066
INC00041,2026-03-26,Phishing,Low,Moderate,Contained,No,LOC0092
