Incident_ID,Location_ID,Location_Name,City,State,Country,Latitude,Longitude
INC00001,LOC0057,Bhopal Site 4,Bhopal,Madhya Pradesh,India,23.212368,77.296915
INC00002,LOC0080,Chennai Site 6,Chennai,Tamil Nadu,India,13.042756,80.175904
INC00003,LOC0086,Patna Site 6,Patna,Bihar,India,25.541717,85.173286
INC00004,LOC0096,Hyderabad Site 7,Hyderabad,Telangana,India,17.522893,78.472338
INC00005,LOC0040,Lucknow Site 3,Lucknow,Uttar Pradesh,India,26.896747,80.921452
INC00006,LOC0091,Delhi Site 7,Delhi,Delhi,India,28.71838,77.226551
INC00007,LOC0012,Bhopal Site 1,Bhopal,Madhya Pradesh,India,23.357703,77.400238
INC00008,LOC0038,Ahmedabad Site 3,Ahmedabad,Gujarat,India,23.033894,72.626639
INC00009,LOC0027,Bhopal Site 2,Bhopal,Madhya Pradesh,India,23.143328,77.387026
INC00010,LOC0093,Bengaluru Site 7,Bengaluru,Karnataka,India,13.005901,77.71746
INC00011,LOC0061,Delhi Site 5,Delhi,Delhi,India,28.53202,77.223342
INC00012,LOC0037,Pune Site 3,Pune,Maharashtra,India,18.446844,73.896473
INC00013,LOC0016,Delhi Site 2,Delhi,Delhi,India,28.785232,77.176487
INC00014,LOC0079,Kolkata Site 6,Kolkata,West Bengal,India,22.583022,88.442519
INC00015,LOC0066,Hyderabad Site 5,Hyderabad,Telangana,India,17.353815,78.376565
INC00016,LOC0086,Patna Site 6,Patna,Bihar,India,25.541717,85.173286
INC00017,LOC0044,Bhubaneswar Site 3,Bhubaneswar,Odisha,India,20.258548,85.8255
INC00018,LOC0015,Chandigarh Site 1,Chandigarh,Chandigarh,India,30.766319,76.813866
INC00019,LOC0034,Kolkata Site 3,Kolkata,West Bengal,India,22.544702,88.326912
INC00020,LOC0063,Bengaluru Site 5,Bengaluru,Karnataka,India,13.038409,77.62315
INC00021,LOC0025,Lucknow Site 2,Lucknow,Uttar Pradesh,India,26.901013,80.951606
INC00022,LOC0008,Ahmedabad Site 1,Ahmedabad,Gujarat,India,23.059901,72.502657
INC00023,LOC0083,Ahmedabad Site 6,Ahmedabad,Gujarat,India,23.089579,72.499166
INC00024,LOC0054,Jaipur Site 4,Jaipur,Rajasthan,India,26.836398,75.760177
INC00025,LOC0040,Lucknow Site 3,Lucknow,Uttar Pradesh,India,26.896747,80.921452
INC00026,LOC0056,Patna Site 4,Patna,Bihar,India,25.628854,85.156619
INC00027,LOC0074,Bhubaneswar Site 5,Bhubaneswar,Odisha,India,20.247132,85.813237
INC00028,LOC0001,Delhi Site 1,Delhi,Delhi,India,28.638277,77.125801
INC00029,LOC0045,Chandigarh Site 3,Chandigarh,Chandigarh,India,30.77176,76.815122
INC00030,LOC0026,Patna Site 2,Patna,Bihar,India,25.61723,85.188103
INC00031,LOC0010,Lucknow Site 1,Lucknow,Uttar Pradesh,India,26.916976,80.942206
INC00032,LOC0004,Kolkata Site 1,Kolkata,West Bengal,India,22.582827,88.338601
INC00033,LOC0045,Chandigarh Site 3,Chandigarh,Chandigarh,India,30.77176,76.815122
INC00034,LOC0055,Lucknow Site 4,Lucknow,Uttar Pradesh,India,26.913925,80.808014
INC00035,LOC0051,Hyderabad Site 4,Hyderabad,Telangana,India,17.354747,78.590638
INC00036,LOC0079,Kolkata Site 6,Kolkata,West Bengal,India,22.583022,88.442519
INC00037,LOC0046,Delhi Site 4,Delhi,Delhi,India,28.667131,77.201121
INC00038,LOC0059,Bhubaneswar Site 4,Bhubaneswar,Odisha,India,20.314714,85.826248
INC00039,LOC0082,Pune Site 6,Pune,Maharashtra,India,18.690678,73.790989
INC00040,LOC0066,Hyderabad Site 5,Hyderabad,Telangana,India,17.353815,78.376565
INC00041,LOC0092,Mumbai Site 7,Mumbai,Maharashtra,India,19.043126,72.966203
INC00042,LOC0023,Ahmedabad Site 2,Ahmedabad,Gujarat,India,23.031835,72.588895
INC00043,LOC0079,Kolkata Site 6,Kolkata,West Bengal,India,22.583022,88.442519
INC00044,LOC0070,Lucknow Site 5,Lucknow,Uttar Pradesh,India,27.006438,81.179309
