Response_ID,Incident_ID,Response_Time_Minutes,Resolution_Time_Minutes,Response_Status,Response_Team,Escalation_Level
RES00001,INC00001,52,118,Contained,Network Security,L1
RES00002,INC00002,26,1367,Closed,SOC Tier 2,L3
RES00003,INC00003,29,895,Contained,Forensics,L1
RES00004,INC00004,91,540,In Progress,Incident Response,L3
RES00005,INC00005,22,1248,Contained,SOC Tier 1,L1
RES00006,INC00006,32,1226,Closed,Network Security,L1
RES00007,INC00007,101,897,Contained,Network Security,L1
RES00008,INC00008,30,222,Closed,Forensics,L1
RES00009,INC00009,114,766,Closed,Network Security,L1
RES00010,INC00010,53,691,Contained,SOC Tier 2,L2
RES00011,INC00011,323,620,Closed,Network Security,L1
RES00012,INC00012,76,672,Contained,Network Security,L2
RES00013,INC00013,54,300,Contained,Incident Response,L1
RES00014,INC00014,30,1036,In Progress,Network Security,L1
RES00015,INC00015,46,685,Contained,Forensics,L1
RES00016,INC00016,40,1100,Contained,Network Security,L1
RES00017,INC00017,47,719,In Progress,Incident Response,L1
RES00018,INC00018,55,1091,Closed,Incident Response,L2
RES00019,INC00019,26,1089,In Progress,Forensics,L2
RES00020,INC00020,117,372,In Progress,Forensics,L1
RES00021,INC00021,73,726,Closed,SOC Tier 2,L2
RES00022,INC00022,33,1120,In Progress,SOC Tier 1,L3
RES00023,INC00023,93,959,Closed,Forensics,L1
RES00024,INC00024,5,347,Closed,SOC Tier 2,L1
RES00025,INC00025,55,1258,Contained,Forensics,L1
RES00026,INC00026,33,344,In Progress,SOC Tier 1,L1
RES00027,INC00027,108,1538,Contained,Forensics,L1
RES00028,INC00028,56,1082,In Progress,Network Security,L3
RES00029,INC00029,140,624,Contained,SOC Tier 2,L1
RES00030,INC00030,122,426,Closed,SOC Tier 1,L1
RES00031,INC00031,148,1449,Closed,Forensics,L1
RES00032,INC00032,192,960,Contained,SOC Tier 1,L1
RES00033,INC00033,16,1182,Closed,SOC Tier 1,L1
RES00034,INC00034,108,1310,In Progress,Network Security,L2
RES00035,INC00035,312,437,Closed,Network Security,L1
RES00036,INC00036,114,1108,Closed,SOC Tier 1,L2
RES00037,INC00037,23,524,Contained,SOC Tier 2,L1
RES00038,INC00038,32,1341,In Progress,Network Security,L3
RES00039,INC00039,46,384,In Progress,Network Security,L2
RES00040,INC00040,5,82,Closed,SOC Tier 2,L1
RES00041,INC00041,13,979,In Progress,Incident Response,L1
RES00042,INC00042,5,813,Closed,SOC Tier 1,L1
RES00043,INC00043,7,819,Contained,SOC Tier 1,L2
RES00044,INC00044,52,453,Contained,Forensics,L1
RES00045,INC00045,18,745,Closed,SOC Tier 2,L3
RES00046,INC00046,92,1481,In Progress,Forensics,L2
RES00047,INC00047,43,1149,Contained,SOC Tier 1,L1
RES00048,INC00048,66,1484,Closed,Forensics,L2
RES00049,INC00049,43,542,In Progress,Incident Response,L1
RES00050,INC00050,49,1305,Closed,Forensics,L2
RES00051,INC00051,45,614,Closed,Forensics,L3
RES00052,INC00052,167,1516,Pending,SOC Tier 2,L1
RES00053,INC00053,126,1376,Closed,Network Security,L3
RES00054,INC00054,25,287,In Progress,SOC Tier 2,L1
RES00055,INC00055,126,1526,Closed,Network Security,L1
RES00056,INC00056,35,921,Closed,Forensics,L2
RES00057,INC00057,8,1132,Closed,Forensics,L1
RES00058,INC00058,85,931,Closed,Network Security,L2
RES00059,INC00059,104,440,In Progress,SOC Tier 2,L1
RES00060,INC00060,40,1458,Closed,SOC Tier 1,L2
RES00061,INC00061,20,208,In Progress,Incident Response,L1
RES00062,INC00062,40,1210,Closed,SOC Tier 1,L1
RES00063,INC00063,27,351,In Progress,Incident Response,L1
RES00064,INC00064,96,1233,In Progress,Forensics,L1
RES00065,INC00065,201,827,Pending,SOC Tier 1,L1
RES00066,INC00066,37,400,In Progress,Forensics,L1
RES00067,INC00067,75,438,In Progress,Incident Response,L1
RES00068,INC00068,43,523,Pending,SOC Tier 1,L1
RES00069,INC00069,41,1341,Closed,Network Security,L1
RES00070,INC00070,134,1248,Closed,SOC Tier 1,L1
RES00071,INC00071,204,1179,In Progress,Network Security,L3
RES00072,INC00072,19,937,Closed,Incident Response,L1
RES00073,INC00073,107,724,Contained,Network Security,L1
RES00074,INC00074,72,1373,Closed,SOC Tier 2,L1
RES00075,INC00075,135,551,Contained,SOC Tier 1,L3
RES00076,INC00076,83,1442,Closed,SOC Tier 2,L1
RES00077,INC00077,79,645,Contained,Network Security,L2
RES00078,INC00078,64,575,In Progress,Forensics,L1
RES00079,INC00079,17,718,Closed,SOC Tier 2,L1
RES00080,INC00080,201,1286,Closed,SOC Tier 2,L3
RES00081,INC00081,71,1107,Closed,Forensics,L1
RES00082,INC00082,37,1148,Contained,SOC Tier 2,L3
RES00083,INC00083,21,176,Contained,SOC Tier 2,L1
RES00084,INC00084,64,321,Closed,Forensics,L1
RES00085,INC00085,74,1300,Pending,Incident Response,L1
RES00086,INC00086,7,1420,Pending,Incident Response,L1
RES00087,INC00087,98,307,Contained,Incident Response,L3
RES00088,INC00088,62,1366,In Progress,Network Security,L1
RES00089,INC00089,168,568,Contained,SOC Tier 2,L1
RES00090,INC00090,11,1421,In Progress,Network Security,L2
RES00091,INC00091,242,1672,Closed,SOC Tier 2,L1
RES00092,INC00092,26,954,Closed,Incident Response,L1
RES00093,INC00093,53,351,Closed,SOC Tier 1,L1
RES00094,INC00094,64,1205,Closed,SOC Tier 1,L1
RES00095,INC00095,14,186,Contained,Incident Response,L1
RES00096,INC00096,43,544,Closed,SOC Tier 1,L1
RES00097,INC00097,33,963,Closed,Forensics,L2
RES00098,INC00098,62,187,Contained,Forensics,L1
RES00099,INC00099,34,618,In Progress,SOC Tier 2,L1
RES00100,INC00100,67,1221,Closed,SOC Tier 2,L2
RES00101,INC00101,90,249,Closed,Incident Response,L1
RES00102,INC00102,21,568,Closed,SOC Tier 2,L3
RES00103,INC00103,44,79,Closed,Forensics,L1
RES00104,INC00104,44,1002,Closed,SOC Tier 1,L1
RES00105,INC00105,35,176,Closed,Incident Response,L1
RES00106,INC00106,31,457,Closed,SOC Tier 1,L2
RES00107,INC00107,43,810,Closed,Forensics,L1
RES00108,INC00108,124,456,Closed,SOC Tier 1,L1
RES00109,INC00109,34,389,Pending,Incident Response,L1
RES00110,INC00110,21,1228,Closed,Forensics,L1
RES00111,INC00111,46,1172,In Progress,Incident Response,L1
RES00112,INC00112,23,166,Contained,SOC Tier 1,L1
RES00113,INC00113,12,1251,Contained,SOC Tier 1,L1
RES00114,INC00114,74,764,Contained,Network Security,L1
RES00115,INC00115,177,411,Pending,SOC Tier 1,L2
RES00116,INC00116,68,1376,In Progress,SOC Tier 2,L1
RES00117,INC00117,9,514,Pending,Network Security,L1
RES00118,INC00118,24,513,Closed,SOC Tier 2,L1
RES00119,INC00119,13,249,Closed,Forensics,L1
RES00120,INC00120,113,1392,Closed,Network Security,L1
RES00121,INC00121,6,440,Contained,SOC Tier 1,L2
RES00122,INC00122,51,916,In Progress,Forensics,L1
RES00123,INC00123,71,438,Closed,Forensics,L1
RES00124,INC00124,8,1300,In Progress,SOC Tier 2,L1
RES00125,INC00125,40,1179,Closed,SOC Tier 2,L1
RES00126,INC00126,43,782,Closed,SOC Tier 2,L1
RES00127,INC00127,37,554,Contained,Incident Response,L1
RES00128,INC00128,320,1273,In Progress,Incident Response,L1
RES00129,INC00129,36,764,Pending,Forensics,L1
RES00130,INC00130,57,1413,Closed,Network Security,L1
RES00131,INC00131,185,1165,Contained,Forensics,L3
RES00132,INC00132,145,213,Closed,SOC Tier 2,L1
RES00133,INC00133,40,1229,Closed,Incident Response,L1
RES00134,INC00134,48,349,Contained,SOC Tier 1,L1
RES00135,INC00135,85,539,In Progress,SOC Tier 2,L1
RES00136,INC00136,68,712,Contained,Incident Response,L1
RES00137,INC00137,54,379,In Progress,SOC Tier 1,L1
RES00138,INC00138,309,1667,Closed,Forensics,L1
RES00139,INC00139,78,1487,Closed,SOC Tier 2,L1
RES00140,INC00140,72,321,Closed,SOC Tier 1,L2
RES00141,INC00141,78,559,Contained,Network Security,L1
RES00142,INC00142,91,643,In Progress,SOC Tier 1,L1
RES00143,INC00143,287,1263,Closed,SOC Tier 2,L1
RES00144,INC00144,28,900,Closed,SOC Tier 1,L3
RES00145,INC00145,60,1045,Closed,Network Security,L1
RES00146,INC00146,234,307,Contained,Forensics,L1
RES00147,INC00147,26,780,Closed,SOC Tier 1,L1
